DRR140161_NODE_1	BK068993
DRR140162_NODE_1	BK068994
DRR140164_NODE_11	BK068995
DRR140164_NODE_13	BK068996
DRR140164_NODE_14	BK068997
DRR140164_NODE_16	BK068998
DRR140164_NODE_17	BK068999
DRR140164_NODE_18	BK069000
DRR140164_NODE_21	BK069001
DRR140164_NODE_2	BK069002
DRR140164_NODE_4	BK069003
DRR140164_NODE_5	BK069004
DRR140164_NODE_6	BK069005
DRR140165_NODE_22	BK069006
DRR140165_NODE_26	BK069007
DRR140165_NODE_31	BK069008
DRR140165_NODE_38	BK069009
DRR140165_NODE_40	BK069010
DRR140165_NODE_41	BK069011
DRR140165_NODE_49	BK069012
DRR140165_NODE_60	BK069013
DRR140166_NODE_22	BK069014
DRR140166_NODE_29	BK069015
DRR140166_NODE_32	BK069016
DRR140166_NODE_36	BK069017
DRR140166_NODE_54	BK069018
DRR140166_NODE_60	BK069019
DRR140166_NODE_96	BK069020
DRR140166_NODE_99	BK069021
DRR140173_NODE_14	BK069022
DRR140173_NODE_16	BK069023
DRR140173_NODE_17	BK069024
DRR140173_NODE_2	BK069025
DRR140173_NODE_3	BK069026
DRR140173_NODE_4	BK069027
DRR140173_NODE_5	BK069028
DRR140173_NODE_7	BK069029
DRR140173_NODE_9	BK069030
DRR140174_NODE_12	BK069031
DRR140174_NODE_15	BK069032
DRR140174_NODE_16	BK069033
DRR140174_NODE_17	BK069034
DRR140174_NODE_1	BK069035
DRR140174_NODE_4	BK069036
DRR140174_NODE_9	BK069037
DRR140175_NODE_1	BK069038
DRR140176_NODE_16	BK069039
DRR140176_NODE_17	BK069040
DRR140177_NODE_1	BK069041
DRR140178_NODE_2	BK069042
DRR140178_NODE_3	BK069043
ERR1989828_NODE_605	BK069044
SRR10951765_NODE_1097	BK069045
SRR10951765_NODE_1233	BK069046
SRR10951765_NODE_1316	BK069047
SRR10951765_NODE_1318	BK069048
SRR10951765_NODE_1327	BK069049
SRR10951765_NODE_1335	BK069050
SRR10951765_NODE_1342	BK069051
SRR10951765_NODE_1348	BK069052
SRR10951765_NODE_1386	BK069053
SRR10951765_NODE_1409	BK069054
SRR10951765_NODE_1527	BK069055
SRR10951765_NODE_1602	BK069056
SRR10951765_NODE_1788	BK069057
SRR2037083_NODE_1055	BK069058
SRR2037083_NODE_1170	BK069059
SRR2037083_NODE_1207	BK069060
SRR2037083_NODE_1216	BK069061
SRR2037083_NODE_1225	BK069062
SRR2037083_NODE_1226	BK069063
SRR2037083_NODE_1237	BK069064
SRR2037083_NODE_1241	BK069065
SRR2037083_NODE_1247	BK069066
